iter	Passed	Remaining
400	31866	47600
401	31940	47513
402	32011	47420
403	32082	47330
404	32154	47239
405	32216	47133
406	32280	47033
407	32346	46933
408	32430	46861
409	32495	46761
410	32562	46665
411	32640	46583
412	32707	46488
413	32793	46417
414	32866	46330
415	32930	46229
416	32991	46125
417	33076	46054
418	33157	45977
419	33241	45905
420	33306	45805
421	33374	45712
422	33451	45629
423	33523	45541
424	33583	45436
425	33648	45337
426	33725	45256
427	33809	45184
428	33876	45089
429	33960	45016
430	34044	44944
431	34113	44853
432	34190	44771
433	34266	44688
434	34343	44607
435	34422	44528
436	34492	44438
437	34559	44343
438	34614	44234
439	34683	44142
440	34749	44047
441	34833	43975
442	34908	43892
443	34972	43794
444	35041	43703
445	35099	43598
446	35168	43508
447	35232	43411
448	35310	43331
449	35392	43257
450	35459	43164
451	35516	43059
452	35582	42966
453	35650	42874
454	35715	42780
455	35776	42680
456	35847	42593
457	35913	42500
458	35972	42399
459	36047	42316
460	36102	42210
461	36166	42115
462	36232	42023
463	36307	41941
464	36377	41853
465	36443	41761
466	36513	41673
467	36589	41593
468	36648	41493
469	36713	41400
470	36778	41307
471	36842	41214
472	36920	41135
473	36987	41045
474	37056	40957
475	37123	40867
476	37188	40775
477	37252	40681
478	37329	40602
479	37399	40515
480	37474	40434
481	37536	40339
482	37606	40253
483	37680	40171
484	37758	40093
485	37832	40012
486	37901	39924
487	37972	39840
488	38044	39756
489	38118	39674
490	38197	39597
491	38263	39507
492	38325	39414
493	38394	39327
494	38469	39247
495	38547	39169
496	38607	39073
497	38676	38987
498	38745	38901
499	38829	38829
500	38907	38752
501	38976	38666
502	39044	38578
503	39130	38509
504	39202	38425
505	39267	38335
506	39330	38244
507	39392	38151
508	39484	38087
509	39554	38003
510	39616	37910
511	39687	37826
512	39780	37764
513	39840	37670
514	39914	37589
515	40000	37519
516	40077	37441
517	40145	37355
518	40219	37274
519	40296	37196
520	40358	37104
521	40416	37009
522	40485	36924
523	40563	36848
524	40624	36755
525	40683	36661
526	40753	36578
527	40820	36491
528	40887	36404
529	40958	36321
530	41026	36236
531	41099	36155
532	41169	36071
533	41236	35985
534	41318	35912
535	41390	35830
536	41515	35794
537	41601	35724
538	41677	35646
539	41756	35570
540	41851	35508
541	41926	35428
542	42005	35352
543	42100	35290
544	42197	35229
545	42273	35150
546	42367	35087
547	42450	35014
548	42532	34940
549	42601	34855
550	42675	34775
551	42765	34708
552	42846	34633
553	42902	34538
554	42970	34453
555	43048	34376
556	43137	34308
557	43199	34218
558	43269	34135
559	43333	34047
560	43399	33961
561	43469	33878
562	43541	33797
563	43605	33709
564	43669	33621
565	43749	33546
566	43814	33459
567	43882	33375
568	43956	33295
569	44021	33209
570	44084	33121
571	44150	33035
572	44205	32941
573	44268	32854
574	44333	32768
575	44391	32676
576	44456	32591
577	44523	32506
578	44588	32421
579	44661	32341
580	44728	32256
581	44787	32166
582	44847	32077
583	44905	31987
584	44978	31907
585	45053	31829
586	45115	31742
587	45178	31655
588	45236	31565
589	45303	31482
590	45373	31400
591	45445	31320
592	45509	31234
593	45576	31151
594	45644	31068
595	45703	30980
596	45768	30895
597	45834	30811
598	45900	30727
599	45978	30652
600	46061	30579
601	46124	30493
602	46182	30405
603	46255	30326
604	46326	30245
605	46395	30164
606	46458	30079
607	46525	29996
608	46594	29915
609	46657	29830
610	46727	29749
611	46784	29660
612	46849	29577
613	46912	29492
614	46969	29403
615	47044	29326
616	47115	29246
617	47185	29166
618	47256	29086
619	47311	28997
620	47382	28917
621	47459	28841
622	47536	28766
623	47602	28683
624	47664	28598
625	47742	28523
626	47810	28442
627	47872	28357
628	47943	28278
629	48013	28198
630	48072	28112
631	48143	28032
632	48212	27952
633	48297	27881
634	48370	27803
635	48454	27731
636	48533	27657
637	48593	27572
638	48664	27492
639	48750	27422
640	48817	27340
641	48892	27263
642	48959	27183
643	49035	27106
644	49126	27038
645	49213	26968
646	49287	26891
647	49375	26821
648	49462	26750
649	49534	26672
650	49605	26593
651	49684	26518
652	49766	26445
653	49862	26379
654	49947	26308
655	50038	26239
656	50119	26166
657	50213	26098
658	50294	26024
659	50396	25961
660	50495	25896
661	50589	25829
662	50688	25764
663	50789	25700
664	50899	25641
665	51011	25582
666	51179	25551
667	51297	25494
668	51392	25427
669	51500	25365
670	51616	25308
671	51731	25249
672	51831	25184
673	51944	25124
674	52079	25075
675	52191	25014
676	52305	24955
677	52434	24902
678	52530	24833
679	52626	24765
680	52748	24708
681	52862	24648
682	52956	24578
683	53037	24502
684	53122	24428
685	53213	24357
686	53313	24290
687	53396	24214
688	53488	24143
689	53568	24066
690	53655	23993
691	53736	23917
692	53822	23843
693	53904	23767
694	53978	23688
695	54084	23623
696	54173	23550
697	54274	23482
698	54351	23404
699	54448	23335
700	54518	23254
701	54603	23179
702	54693	23106
703	54786	23035
704	54859	22955
705	54927	22873
706	55009	22797
707	55099	22724
708	55181	22648
709	55273	22576
710	55376	22508
711	55518	22456
712	55590	22376
713	55655	22293
714	55731	22214
715	55813	22138
716	55912	22068
717	56013	21999
718	56105	21927
719	56182	21848
720	56263	21771
721	56360	21701
722	56469	21635
723	56559	21561
724	56653	21489
725	56725	21408
726	56812	21334
727	56882	21252
728	56962	21175
729	57052	21101
730	57135	21025
731	57231	20953
732	57331	20883
733	57501	20838
734	57601	20767
735	57701	20697
736	57786	20621
737	57870	20544
738	57956	20468
739	58044	20393
740	58129	20317
741	58195	20235
742	58272	20156
743	58365	20082
744	58434	20001
745	58505	19920
746	58578	19839
747	58625	19750
748	58691	19668
749	58751	19583
750	58821	19502
751	58885	19419
752	58968	19342
753	59042	19263
754	59125	19186
755	59190	19103
756	59259	19022
757	59333	18942
758	59412	18864
759	59480	18783
760	59555	18703
761	59626	18623
762	59701	18544
763	59780	18466
764	59866	18390
765	59942	18311
766	60010	18230
767	60081	18149
768	60151	18068
769	60230	17990
770	60301	17910
771	60380	17832
772	60459	17754
773	60540	17677
774	60607	17595
775	60677	17515
776	60756	17437
777	60818	17354
778	60892	17274
779	60953	17191
780	61018	17110
781	61088	17029
782	61171	16952
783	61239	16872
784	61300	16789
785	61372	16709
786	61445	16630
787	61504	16546
788	61585	16469
789	61649	16387
790	61721	16308
791	61802	16230
792	61872	16150
793	61938	16069
794	62002	15988
795	62063	15905
796	62146	15828
797	62204	15745
798	62274	15666
